Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,3,3547,450,9652,4317.04,0.000%,.00757,0.01,0.00,687.0
Login as User Request,3,2606,470,6872,3016.05,0.000%,.00775,0.01,0.00,685.0
Login as Merchant Request,3,2393,407,6290,2755.77,0.000%,.00788,0.01,0.00,687.0
BZM Register Merchant Request,29,2554,701,4701,1256.82,0.000%,.77978,0.53,0.42,698.2
BZM Register User Request,28,2282,524,4315,1176.95,0.000%,.82835,0.55,0.24,683.6
BZM Register Admin Request,27,2895,586,5280,1354.80,0.000%,.83563,0.56,0.44,690.3
BZM Login Request,26,1950,497,4900,1500.98,0.000%,.97675,0.65,0.24,683.6
BZM Create Category Request,20,4137,607,10115,3373.23,0.000%,.68670,0.37,0.32,549.0
BZM Get All Categories Request,20,4585,288,10190,4013.26,0.000%,.93892,0.59,0.36,639.0
BZM Get Category by ID Request,20,947,324,1605,401.80,100.000%,1.62536,0.30,0.62,188.0
BZM Update Category Request,20,1514,704,2315,507.99,0.000%,1.61329,0.87,0.77,552.0
BZM Create Merchant Request,20,8700,1786,19234,6205.56,0.000%,.56120,0.32,0.32,582.4
BZM Get All Merchants Request,17,6107,383,12101,4682.77,0.000%,.85384,0.48,0.32,579.0
BZM Get Merchant by ID Request,13,1616,606,2790,579.64,92.308%,1.23668,0.26,0.47,218.8
BZM Create Item Request,28,1937,706,4432,865.67,0.000%,.79453,0.62,0.73,801.1
BZM Get All Items Request,27,435,117,1302,252.35,0.000%,.86530,0.58,0.33,691.7
BZM Get Item by ID Request,27,766,314,1704,360.30,70.370%,.87328,0.31,0.33,367.3
BZM Add Item Stock Request,21,1297,196,2397,591.96,38.095%,.79542,0.44,0.35,566.2
BZM Remove Item Stock Request,20,1155,290,2099,515.19,40.000%,1.04264,0.56,0.46,553.8
BZM Create Order Request,10,23253,20532,26133,1950.38,80.000%,.34328,0.11,0.35,330.2
BZM Get User Orders Request,10,15226,12294,18501,2686.28,0.000%,.50010,0.23,0.19,473.0
BZM Get All Merchant Orders Request,51,590,190,1945,375.16,0.000%,1.47258,0.68,0.57,473.0
BZM Get Merchant Order by ID Request,51,1085,304,2412,489.40,100.000%,1.50465,0.29,0.58,195.0
BZM Get Merchant Order of Merchant User Request,41,711,195,2403,544.65,0.000%,1.51812,0.70,0.58,473.0
BZM Get All Shipping Orders Request,30,5213,284,16437,6486.52,0.000%,.84921,0.39,0.33,473.0
BZM Get Shipping Order by ID Request,27,1501,318,2698,618.43,100.000%,1.36405,0.26,0.52,195.0
BZM Get Shipping Order of User Request,20,1590,195,3204,885.71,0.000%,1.77179,0.82,0.67,473.0
BZM Reject Order Request,35,2376,158,10661,2141.49,97.143%,3.23415,2.86,1.04,906.4
BZM Get All Orders Request,30,831,193,1890,435.56,0.000%,.87520,0.40,0.33,473.0
BZM Get Order by ID Request,30,1454,686,2703,516.66,100.000%,.85504,0.16,0.32,186.0
BZM Approve Order Request,20,1503,498,3207,786.68,100.000%,1.08114,0.20,0.49,185.6
BZM Cancel Order Request,167,1980,286,7401,1142.54,100.000%,4.59081,0.83,2.10,186.0
BZM Delete Order by ID Request,169,1952,181,6541,1071.34,98.817%,4.70333,0.90,1.93,195.0
BZM Delete Item Request,440,748,117,2490,354.67,94.091%,12.30700,2.66,4.89,221.4
BZM Delete Merchants Request,293,1130,211,3893,655.25,93.174%,8.11275,1.71,3.25,215.8
BZM Delete Category Request,633,518,85,2102,271.86,96.840%,17.70530,3.45,7.12,199.5
TOTAL,2429,1445,85,26133,2428.44,77.028%,4.19715,1.21,1.73,294.5
