Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,5911,5911,5911,0.00,0.000%,.16918,0.11,0.04,687.0
Login as User Request,1,3477,3477,3477,0.00,0.000%,.28760,0.19,0.07,685.0
Login as Merchant Request,1,3796,3796,3796,0.00,0.000%,.26344,0.18,0.07,687.0
BZM Register Merchant Request,35,1583,506,2892,709.51,0.000%,.99715,0.68,0.53,698.4
BZM Register User Request,34,1410,304,2899,652.51,0.000%,1.03015,0.69,0.30,683.7
BZM Register Admin Request,34,1602,488,3704,858.24,0.000%,1.05577,0.71,0.55,690.6
BZM Login Request,33,865,403,2392,510.81,0.000%,1.11471,0.74,0.28,683.7
BZM Create Category Request,30,1757,298,7337,1830.96,0.000%,.88137,0.47,0.41,549.3
BZM Get All Categories Request,30,958,297,2500,666.68,0.000%,1.04924,2.17,0.40,2117.6
BZM Get Category by ID Request,30,523,198,1097,216.06,0.000%,1.11115,0.60,0.42,549.3
BZM Update Category Request,20,984,207,1497,349.68,0.000%,1.36996,0.74,0.66,552.0
BZM Create Merchant Request,42,1881,400,5542,1183.70,0.000%,1.19532,0.68,0.69,583.2
BZM Get All Merchants Request,40,1254,298,2997,872.77,0.000%,1.38894,4.26,0.53,3143.3
BZM Get Merchant by ID Request,40,616,103,1501,406.81,0.000%,1.52678,0.87,0.58,583.0
BZM Create Item Request,20,1138,498,2448,540.97,0.000%,.83532,0.65,0.77,800.8
BZM Get All Items Request,20,679,103,1798,367.52,0.000%,.90102,3.68,0.34,4180.1
BZM Get Item by ID Request,20,378,191,600,121.36,35.000%,.91743,0.52,0.34,585.0
BZM Add Item Stock Request,20,635,203,999,260.07,35.000%,.89686,0.51,0.40,585.0
BZM Remove Item Stock Request,17,575,185,1195,330.67,41.176%,.77273,0.41,0.34,546.2
BZM Create Order Request,20,1818,1143,3236,500.66,0.000%,.79561,0.73,0.82,944.6
BZM Get User Orders Request,20,1829,1102,3500,545.04,0.000%,.83679,5.00,0.31,6121.2
BZM Get All Orders Request,20,1304,200,2801,688.22,0.000%,.87719,6.04,0.33,7046.0
BZM Get Order by ID Request,20,364,103,602,130.43,0.000%,.93901,0.87,0.35,944.6
BZM Approve Order Request,20,674,299,1899,383.36,0.000%,.92179,0.53,0.42,591.5
BZM Get All Merchant Orders Request,65,160,15,298,72.37,0.000%,1.85916,10.45,0.72,5757.0
BZM Get Merchant Order by ID Request,65,183,19,400,77.97,69.231%,1.86252,0.66,0.71,361.5
BZM Get Merchant Order of Merchant User Request,55,170,18,695,103.50,0.000%,1.86447,10.37,0.71,5697.0
BZM Get All Shipping Orders Request,65,142,43,345,61.73,0.000%,1.86028,14.11,0.72,7768.0
BZM Get Shipping Order by ID Request,65,174,20,1203,146.40,70.769%,1.86798,0.74,0.71,407.0
BZM Get Shipping Order of User Request,55,161,19,499,82.03,0.000%,1.87700,14.24,0.71,7768.0
BZM Reject Order Request,613,533,94,1399,223.23,96.737%,17.29440,3.36,7.83,199.2
BZM Cancel Order Request,808,404,14,1199,175.89,100.000%,22.79781,4.14,10.44,185.9
BZM Delete Order by ID Request,780,418,16,1299,189.43,97.436%,22.07256,4.43,9.07,205.5
BZM Delete Item Request,786,415,101,1001,144.55,97.583%,22.23794,4.34,8.84,199.9
BZM Delete Merchants Request,1007,324,96,1399,142.59,95.829%,28.57629,5.73,11.47,205.2
BZM Delete Category Request,1132,287,87,1096,119.20,97.350%,32.11894,6.19,12.92,197.4
TOTAL,6064,441,14,7337,405.33,84.218%,11.87634,6.72,4.97,579.1
