Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,4370,4370,4370,0.00,0.000%,.22883,0.14,0.06,647.0
Login as User Request,1,1204,1204,1204,0.00,0.000%,.83056,0.52,0.21,645.0
Login as Merchant Request,1,1087,1087,1087,0.00,0.000%,.91996,0.58,0.23,647.0
BZM Register Merchant Request,20,5291,1815,7911,1489.16,0.000%,.56322,0.36,0.30,657.9
BZM Register User Request,19,5368,4399,7000,618.17,0.000%,.52199,0.33,0.15,643.4
BZM Login Request,15,5152,3995,6396,656.65,0.000%,.47470,0.30,0.12,643.3
BZM Register Admin Request,12,5366,3799,6801,898.77,0.000%,.45979,0.29,0.24,649.5
BZM Create Category Request,168,490,106,999,157.09,0.000%,4.76717,2.31,2.20,496.1
BZM Get All Categories Request,167,472,102,998,173.96,0.000%,4.75838,29.21,1.81,6285.0
BZM Get Category by ID Request,162,469,102,900,162.28,0.000%,4.65598,2.26,1.77,496.1
BZM Update Category Request,159,559,203,1000,161.39,0.000%,4.59577,2.24,2.21,499.0
BZM Create Merchant Request,232,369,107,897,116.27,91.379%,6.60122,2.90,3.83,449.7
BZM Get All Merchants Request,229,751,6,1600,333.92,0.000%,6.52384,23.76,2.48,3730.0
BZM Get Merchant by ID Request,222,312,98,700,109.39,90.541%,6.43478,2.86,2.44,454.6
BZM Create Item Request,153,466,101,799,128.59,0.000%,4.32913,3.37,3.97,796.2
BZM Get All Items Request,152,366,96,900,175.66,0.000%,4.40644,125.16,1.66,29085.4
BZM Get Item by ID Request,152,417,102,702,130.78,0.000%,4.38015,3.41,1.64,796.1
BZM Add Item Stock Request,149,473,107,799,139.83,0.000%,4.28247,3.33,1.91,796.1
BZM Remove Item Stock Request,144,461,94,799,131.43,0.000%,4.15129,3.22,1.85,795.0
BZM Create Order Request,75,328,106,740,133.35,22.667%,2.24323,1.78,2.31,811.3
BZM Get User Orders Request,75,462,4,1694,325.87,0.000%,2.22592,32.13,0.83,14781.5
BZM Get All Orders Request,75,439,4,1702,433.43,0.000%,2.23894,32.82,0.84,15011.2
BZM Get Order by ID Request,75,149,5,300,70.26,22.667%,2.24564,1.81,0.84,824.2
BZM Approve Order Request,75,210,5,597,123.09,22.667%,2.25856,1.13,1.02,514.3
BZM Get All Merchant Orders Request,511,174,4,498,75.45,0.000%,14.50386,223.82,5.58,15802.4
BZM Get Merchant Order by ID Request,506,307,6,702,96.61,88.538%,14.46045,6.70,5.56,474.8
BZM Get Merchant Order of Merchant User Request,502,161,3,400,71.73,0.000%,14.46978,223.31,5.51,15803.0
BZM Get All Shipping Orders Request,523,169,3,399,72.55,0.000%,14.88121,390.78,5.73,26890.4
BZM Get Shipping Order by ID Request,516,304,8,600,98.86,88.760%,14.78425,7.16,5.69,495.7
BZM Get Shipping Order of User Request,513,155,3,401,74.54,0.000%,14.78599,388.29,5.60,26891.0
BZM Reject Order Request,1212,268,6,1094,86.50,97.937%,34.48472,14.78,15.66,438.8
BZM Cancel Order Request,1267,256,44,900,85.84,97.395%,36.05270,15.47,16.55,439.4
BZM Delete Order by ID Request,1879,173,3,399,61.24,96.913%,53.46574,23.62,22.00,452.3
BZM Delete Item Request,1554,209,6,401,66.18,90.026%,44.09011,20.31,17.54,471.7
BZM Delete Merchants Request,2159,150,2,397,60.08,99.027%,61.59948,26.55,24.75,441.3
BZM Delete Category Request,2326,148,3,399,57.28,92.691%,65.48239,28.34,26.38,443.1
TOTAL,16001,255,2,7911,365.65,70.652%,33.77548,121.02,14.14,3669.0
