Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,7183,7183,7183,0.00,0.000%,.13922,0.09,0.03,687.0
Login as User Request,1,4490,4490,4490,0.00,0.000%,.22272,0.15,0.06,685.0
Login as Merchant Request,1,5384,5384,5384,0.00,0.000%,.18574,0.12,0.05,687.0
BZM Register Merchant Request,33,2248,715,4379,867.92,0.000%,.93000,0.63,0.50,698.3
BZM Register User Request,32,2108,605,3699,605.78,0.000%,.98765,0.66,0.29,683.7
BZM Register Admin Request,31,2022,718,2811,539.15,0.000%,1.03641,0.70,0.54,690.4
BZM Login Request,29,1612,409,3291,828.88,0.000%,1.03575,0.69,0.26,683.6
BZM Create Category Request,30,2075,1,6939,2303.78,33.333%,1.02592,1.11,0.31,1106.4
BZM Get All Categories Request,30,1056,0,3001,884.58,33.333%,1.29277,2.58,0.33,2043.1
BZM Get Category by ID Request,30,436,0,898,328.18,66.667%,1.38876,1.50,0.35,1105.6
BZM Update Category Request,30,1766,0,4726,1930.13,100.000%,1.39593,1.11,0.45,814.3
BZM Create Merchant Request,36,4655,1008,14942,4416.75,0.000%,.97997,0.56,0.57,583.1
BZM Get All Merchants Request,33,1329,396,4402,981.01,0.000%,1.34125,3.43,0.51,2621.9
BZM Get Merchant by ID Request,32,904,296,1596,284.08,0.000%,1.48837,0.85,0.56,582.8
BZM Create Item Request,30,1546,695,3346,725.56,0.000%,.89211,0.70,0.82,801.1
BZM Get All Items Request,30,767,195,1601,338.13,0.000%,.97736,5.52,0.37,5785.6
BZM Get Item by ID Request,30,513,187,1091,199.55,40.000%,1.00685,0.55,0.38,554.6
BZM Add Item Stock Request,23,839,203,1898,436.65,52.174%,.88465,0.41,0.39,479.4
BZM Remove Item Stock Request,20,827,306,1711,428.64,60.000%,1.11179,0.47,0.50,430.7
BZM Create Order Request,10,17980,15543,20542,1646.50,80.000%,.42139,0.14,0.43,330.2
BZM Get User Orders Request,10,6287,3599,8796,2175.40,0.000%,1.01051,1.40,0.37,1416.0
BZM Get All Orders Request,10,3307,2399,5107,751.04,0.000%,1.85185,2.56,0.70,1416.0
BZM Get Order by ID Request,10,922,597,1404,256.11,80.000%,3.69686,1.22,1.39,337.4
BZM Approve Order Request,10,1276,703,2399,574.94,80.000%,2.56148,0.67,1.15,267.0
BZM Get All Merchant Orders Request,58,328,49,1239,216.01,0.000%,1.64609,0.76,0.63,473.0
BZM Get Merchant Order by ID Request,57,615,205,1201,230.56,100.000%,1.65707,0.32,0.64,195.0
BZM Get Merchant Order of Merchant User Request,48,392,91,1602,319.69,0.000%,1.70171,0.79,0.65,473.0
BZM Get All Shipping Orders Request,37,3122,197,12043,4057.26,0.000%,1.05003,0.49,0.40,473.0
BZM Get Shipping Order by ID Request,35,901,296,1901,404.76,100.000%,1.46413,0.28,0.56,195.0
BZM Get Shipping Order of User Request,29,832,107,1897,541.39,0.000%,1.63962,0.76,0.62,473.0
BZM Reject Order Request,213,1555,395,4198,725.21,99.061%,5.90895,1.10,2.67,189.8
BZM Cancel Order Request,246,1347,200,2996,605.33,100.000%,6.78845,1.23,3.10,186.0
BZM Delete Order by ID Request,243,1372,198,5508,766.38,99.177%,6.68685,1.26,2.75,192.2
BZM Delete Item Request,578,564,94,2100,274.24,95.156%,16.26291,3.41,6.46,214.8
BZM Delete Merchants Request,436,749,201,3896,453.77,91.743%,12.30352,2.66,4.94,221.5
BZM Delete Category Request,771,422,96,1297,191.40,97.406%,21.87793,4.22,8.80,197.4
TOTAL,3283,1007,0,20542,1468.76,79.836%,6.40617,2.37,2.63,378.7
