Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,5149,5149,5149,0.00,0.000%,.19421,0.13,0.05,687.0
Login as User Request,1,990,990,990,0.00,0.000%,1.01010,0.68,0.26,685.0
Login as Merchant Request,1,686,686,686,0.00,0.000%,1.45773,0.98,0.37,687.0
BZM Register Merchant Request,20,4501,1406,6600,1527.22,0.000%,.58140,0.40,0.31,697.9
BZM Register User Request,20,4624,2391,6197,986.26,0.000%,.54954,0.37,0.16,683.5
BZM Register Admin Request,13,4822,3097,7800,1230.47,0.000%,.40122,0.27,0.21,689.6
BZM Login Request,12,3509,622,5501,1449.55,0.000%,.52126,0.35,0.13,683.1
BZM Create Category Request,30,844,97,3022,581.15,0.000%,.97656,0.52,0.45,549.3
BZM Get All Categories Request,30,818,110,1795,494.63,0.000%,1.07511,2.10,0.41,2004.2
BZM Get Category by ID Request,30,341,30,806,215.55,0.000%,1.12795,0.61,0.43,549.3
BZM Update Category Request,25,494,29,1194,326.19,0.000%,.99546,0.54,0.48,552.2
BZM Create Merchant Request,61,341,28,812,194.30,0.000%,1.76067,1.00,1.02,583.5
BZM Get All Merchants Request,61,205,23,480,102.20,0.000%,1.77615,7.06,0.67,4072.5
BZM Get Merchant by ID Request,61,117,16,483,120.30,0.000%,1.79069,1.02,0.68,583.3
BZM Create Item Request,22,511,22,2846,666.56,9.091%,.63220,0.51,0.55,829.9
BZM Get All Items Request,22,240,20,1104,243.35,0.000%,.63240,3.29,0.24,5327.5
BZM Get Item by ID Request,22,104,19,400,96.69,4.545%,.63220,0.49,0.24,787.2
BZM Add Item Stock Request,20,82,21,220,63.15,0.000%,.94051,0.75,0.42,815.8
BZM Remove Item Stock Request,20,458,22,3078,836.89,0.000%,.93721,0.75,0.42,814.8
BZM Create Order Request,30,458,40,833,230.34,10.000%,.89193,0.76,0.92,868.2
BZM Get User Orders Request,30,379,99,897,220.16,0.000%,.88768,6.28,0.33,7239.1
BZM Get All Orders Request,30,370,97,894,240.16,0.000%,.89304,6.52,0.34,7476.8
BZM Get Order by ID Request,30,57,17,290,62.40,10.000%,.90912,0.77,0.34,869.1
BZM Approve Order Request,22,203,24,477,135.90,9.091%,.77904,0.42,0.35,554.7
BZM Get All Merchant Orders Request,69,45,13,180,38.67,0.000%,1.97952,14.71,0.76,7612.0
BZM Get Merchant Order by ID Request,69,40,13,198,39.25,60.870%,1.98293,0.79,0.76,406.8
BZM Get Merchant Order of Merchant User Request,59,52,11,1014,132.27,1.695%,1.98459,14.63,0.74,7547.1
BZM Get All Shipping Orders Request,69,66,11,1021,123.76,1.449%,1.98031,20.02,0.75,10350.6
BZM Get Shipping Order by ID Request,69,24,11,98,22.03,60.870%,1.98151,0.86,0.76,446.2
BZM Get Shipping Order of User Request,59,39,10,280,45.22,0.000%,1.98573,20.05,0.75,10337.0
BZM Reject Order Request,970,335,24,1903,175.39,97.216%,27.61566,5.32,12.51,197.1
BZM Cancel Order Request,1211,268,50,598,96.20,100.000%,34.45235,6.25,15.79,185.7
BZM Delete Order by ID Request,1359,239,94,599,82.07,98.013%,38.56523,7.57,15.86,200.9
BZM Delete Item Request,1679,193,24,500,62.34,98.749%,47.77623,8.99,19.01,192.7
BZM Delete Merchants Request,1967,165,10,407,61.01,96.899%,55.97769,10.99,22.49,201.0
BZM Delete Category Request,2112,153,10,503,59.62,98.580%,60.09732,11.32,24.21,192.9
TOTAL,10306,237,10,7800,381.69,89.550%,20.47942,10.35,8.54,517.5
