Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,7908,7908,7908,0.00,0.000%,.12645,0.08,0.03,687.0
Login as User Request,1,5496,5496,5496,0.00,0.000%,.18195,0.12,0.05,685.0
Login as Merchant Request,1,5689,5689,5689,0.00,0.000%,.17578,0.12,0.04,687.0
JP@GC Register Merchant Request,36,1738,485,3332,706.61,0.000%,.92978,0.63,0.50,698.5
JP@GC Register User Request,33,1505,408,2600,516.13,0.000%,.88700,0.59,0.26,683.6
JP@GC Register Admin Request,30,1928,701,2898,524.74,0.000%,.97081,0.65,0.51,690.4
JP@GC Login Request,26,1771,394,3001,715.24,0.000%,.88432,0.59,0.22,683.4
JP@GC Create Category Request,28,1519,389,7190,1885.97,0.000%,.86468,0.46,0.40,549.2
JP@GC Get All Categories Request,27,905,191,3297,740.60,0.000%,1.00424,1.98,0.38,2017.6
JP@GC Get Category by ID Request,22,520,199,896,207.90,0.000%,.88396,0.47,0.34,549.0
JP@GC Update Category Request,19,737,296,1406,288.05,0.000%,1.31889,0.71,0.63,551.9
JP@GC Create Merchant Request,34,4135,1300,13788,3460.10,0.000%,.91158,0.52,0.53,583.0
JP@GC Get All Merchants Request,33,1604,297,4696,1169.84,0.000%,1.29452,3.49,0.49,2759.1
JP@GC Get Merchant by ID Request,26,994,405,2001,357.55,0.000%,1.52065,0.86,0.58,582.5
JP@GC Create Item Request,30,1129,701,2701,550.27,6.667%,.83119,0.62,0.76,759.4
JP@GC Get All Items Request,30,571,98,1295,288.47,0.000%,.87742,4.66,0.33,5442.3
JP@GC Get Item by ID Request,21,484,208,899,164.17,14.286%,.75540,0.53,0.28,712.8
JP@GC Add Item Stock Request,20,923,298,1587,292.33,15.000%,.94832,0.66,0.42,708.4
JP@GC Remove Item Stock Request,20,978,208,1584,359.36,15.000%,.92183,0.64,0.41,707.5
JP@GC Create Order Request,15,10430,3302,15695,4638.16,73.333%,.38380,0.14,0.39,381.7
JP@GC Get User Orders Request,11,6254,1009,9205,2300.29,0.000%,.44706,0.66,0.17,1502.3
JP@GC Get All Orders Request,10,3260,2806,4594,650.20,0.000%,2.08160,2.88,0.78,1416.0
JP@GC Get Order by ID Request,9,1496,506,2393,680.60,77.778%,2.14337,0.74,0.80,354.2
JP@GC Approve Order Request,7,1640,800,4698,1261.56,85.714%,1.22958,0.29,0.55,243.9
JP@GC Get All Merchant Orders Request,52,391,101,1379,236.44,0.000%,1.41350,0.65,0.54,473.0
JP@GC Get Merchant Order by ID Request,44,492,199,1095,202.72,100.000%,1.39249,0.27,0.53,195.0
JP@GC Get Merchant Order of Merchant User Request,43,361,99,1490,284.40,0.000%,1.38737,0.64,0.53,473.0
JP@GC Get All Shipping Orders Request,37,2406,200,12396,3489.53,0.000%,.94658,0.44,0.36,473.0
JP@GC Get Shipping Order by ID Request,28,835,294,1797,400.18,100.000%,1.22281,0.23,0.47,195.0
JP@GC Get Shipping Order of User Request,28,787,98,2396,592.81,0.000%,1.24972,0.58,0.47,473.0
JP@GC Reject Order Request,192,1596,298,4892,711.27,100.000%,4.91224,0.89,2.22,186.0
JP@GC Cancel Order Request,253,1200,188,3293,510.66,100.000%,6.40717,1.16,2.92,186.0
JP@GC Delete Order by ID Request,255,1190,188,4905,656.23,98.431%,6.50660,1.26,2.67,197.9
JP@GC Delete Item Request,550,550,95,1707,253.16,95.091%,13.85635,2.91,5.50,215.2
JP@GC Delete Merchants Request,376,804,202,3388,463.92,90.957%,9.59404,2.10,3.85,224.6
JP@GC Delete Category Request,751,400,94,1196,171.13,96.272%,19.21257,3.78,7.73,201.5
TOTAL,3099,949,94,15695,1237.43,77.154%,5.76133,2.10,2.41,372.5
