Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,5843,5843,5843,0.00,0.000%,.17114,0.11,0.04,687.0
Login as User Request,1,4795,4795,4795,0.00,0.000%,.20855,0.14,0.05,685.0
Login as Merchant Request,1,4483,4483,4483,0.00,0.000%,.22306,0.15,0.06,687.0
JP@GC Register Merchant Request,39,910,409,2041,416.54,0.000%,1.07902,0.74,0.58,698.6
JP@GC Register User Request,37,944,391,2000,402.84,0.000%,1.07212,0.72,0.31,683.8
JP@GC Register Admin Request,37,1063,500,2193,395.85,0.000%,1.08804,0.73,0.57,690.7
JP@GC Login Request,30,939,396,1802,402.08,0.000%,1.14486,0.76,0.29,683.6
JP@GC Create Category Request,25,1618,303,6784,1900.91,0.000%,.69659,0.37,0.32,549.2
JP@GC Get All Categories Request,23,860,295,2098,589.16,0.000%,.77966,1.45,0.30,1905.3
JP@GC Get Category by ID Request,20,668,299,1201,235.55,0.000%,1.29091,0.69,0.49,549.0
JP@GC Update Category Request,15,885,202,1601,427.06,0.000%,1.00007,0.54,0.48,551.6
JP@GC Create Merchant Request,42,1519,404,5494,973.91,0.000%,1.08822,0.62,0.63,583.2
JP@GC Get All Merchants Request,40,853,105,2298,578.00,0.000%,1.20478,3.48,0.46,2961.1
JP@GC Get Merchant by ID Request,34,646,200,1298,291.14,5.882%,1.33869,0.73,0.51,559.6
JP@GC Create Item Request,20,1008,496,2395,542.39,0.000%,.71713,0.56,0.66,801.1
JP@GC Get All Items Request,20,553,200,901,182.71,0.000%,.76339,2.94,0.29,3939.6
JP@GC Get Item by ID Request,20,354,196,503,101.85,30.000%,.77839,0.47,0.29,616.3
JP@GC Add Item Stock Request,14,562,198,998,233.44,42.857%,.54257,0.28,0.24,536.9
JP@GC Remove Item Stock Request,10,479,200,898,217.41,60.000%,1.24984,0.53,0.56,430.4
JP@GC Create Order Request,20,811,393,2688,507.25,0.000%,.80360,0.74,0.83,944.6
JP@GC Get User Orders Request,20,679,203,1302,280.26,0.000%,.87344,4.59,0.32,5386.4
JP@GC Get All Orders Request,20,670,104,1303,372.42,0.000%,.90074,5.03,0.34,5718.6
JP@GC Get Order by ID Request,20,288,99,599,146.91,0.000%,.92187,0.85,0.35,944.6
JP@GC Approve Order Request,11,471,299,697,134.20,0.000%,.50924,0.29,0.23,591.2
JP@GC Get All Merchant Orders Request,60,169,16,597,88.16,0.000%,1.66242,9.35,0.64,5757.0
JP@GC Get Merchant Order by ID Request,50,171,23,305,73.47,60.000%,1.64506,0.66,0.63,411.4
JP@GC Get Merchant Order of Merchant User Request,50,139,18,301,74.50,0.000%,1.64924,9.18,0.63,5697.0
JP@GC Get All Shipping Orders Request,60,159,18,1203,197.47,3.333%,1.66699,12.70,0.62,7799.6
JP@GC Get Shipping Order by ID Request,50,157,25,296,60.73,60.000%,1.64880,0.73,0.63,451.7
JP@GC Get Shipping Order of User Request,50,109,14,300,58.47,0.000%,1.65563,12.56,0.63,7768.0
JP@GC Reject Order Request,658,458,19,1301,210.99,100.000%,16.83295,3.06,7.59,186.0
JP@GC Cancel Order Request,821,366,18,999,167.09,100.000%,21.05398,3.82,9.60,186.0
JP@GC Delete Order by ID Request,827,364,21,1198,174.67,97.582%,21.20839,4.23,8.72,204.4
JP@GC Delete Item Request,728,414,102,1099,143.24,97.527%,18.57664,3.63,7.38,200.2
JP@GC Delete Merchants Request,1025,293,12,798,124.54,95.902%,26.21953,5.25,10.52,205.2
JP@GC Delete Category Request,1040,288,90,795,118.12,97.596%,26.67145,5.12,10.73,196.7
TOTAL,5939,390,12,6784,320.84,85.469%,11.28380,6.05,4.73,548.8
