Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,5348,5348,5348,0.00,0.000%,.18699,0.13,0.05,687.0
Login as User Request,1,998,998,998,0.00,0.000%,1.00200,0.67,0.25,685.0
Login as Merchant Request,1,696,696,696,0.00,0.000%,1.43678,0.96,0.36,687.0
JP@GC Register Merchant Request,20,3970,1537,6097,1139.64,0.000%,.54447,0.37,0.29,697.9
JP@GC Register User Request,20,3628,1899,5702,935.28,0.000%,.54933,0.37,0.16,683.4
JP@GC Register Admin Request,17,4070,907,6098,1304.50,0.000%,.48414,0.33,0.25,689.9
JP@GC Login Request,10,4037,2896,5500,822.00,0.000%,.52097,0.35,0.13,682.7
JP@GC Create Category Request,30,362,32,2483,475.43,0.000%,.92342,0.50,0.43,549.3
JP@GC Get All Categories Request,30,268,20,1196,311.24,0.000%,.99668,1.94,0.38,1993.7
JP@GC Get Category by ID Request,25,118,21,401,128.66,0.000%,.86124,0.46,0.33,549.2
JP@GC Update Category Request,20,264,26,611,165.28,0.000%,1.16272,0.63,0.56,552.0
JP@GC Create Merchant Request,60,179,33,394,97.93,0.000%,1.68138,0.96,0.97,583.5
JP@GC Get All Merchants Request,60,101,14,294,60.92,0.000%,1.69420,6.61,0.64,3995.9
JP@GC Get Merchant by ID Request,50,84,15,1023,153.09,2.000%,1.66069,0.98,0.62,602.2
JP@GC Create Item Request,20,83,21,382,89.97,5.000%,.81659,0.63,0.75,783.8
JP@GC Get All Items Request,20,94,15,287,75.82,0.000%,.82573,3.72,0.31,4609.4
JP@GC Get Item by ID Request,20,50,18,116,35.81,5.000%,.83309,0.64,0.31,784.1
JP@GC Add Item Stock Request,20,47,20,204,44.07,5.000%,.83316,0.64,0.37,784.1
JP@GC Remove Item Stock Request,10,51,21,142,45.94,0.000%,1.14273,0.91,0.51,813.7
JP@GC Create Order Request,24,794,42,4271,1291.84,0.000%,.73896,0.68,0.76,944.9
JP@GC Get User Orders Request,23,291,37,696,151.23,0.000%,.72107,4.33,0.27,6146.6
JP@GC Get All Orders Request,23,256,90,803,182.64,0.000%,.71832,4.36,0.27,6208.9
JP@GC Get Order by ID Request,20,329,17,2000,498.20,0.000%,.80006,0.74,0.30,944.6
JP@GC Approve Order Request,14,364,21,2483,649.91,0.000%,.78546,0.45,0.35,591.4
JP@GC Get All Merchant Orders Request,60,83,14,296,70.15,0.000%,1.71999,11.45,0.66,6817.0
JP@GC Get Merchant Order by ID Request,50,53,13,275,52.27,52.000%,1.68822,0.75,0.65,454.8
JP@GC Get Merchant Order of Merchant User Request,50,73,12,314,59.98,0.000%,1.68942,11.13,0.64,6745.0
JP@GC Get All Shipping Orders Request,60,56,13,270,52.05,0.000%,1.73215,15.63,0.67,9239.0
JP@GC Get Shipping Order by ID Request,50,42,15,111,33.11,52.000%,1.69337,0.83,0.65,503.1
JP@GC Get Shipping Order of User Request,50,50,10,1104,153.60,2.000%,1.69394,15.31,0.63,9257.8
JP@GC Reject Order Request,923,326,15,2005,206.01,100.000%,23.64423,4.29,10.67,186.0
JP@GC Cancel Order Request,1093,274,16,701,118.05,100.000%,28.02349,5.09,12.78,186.0
JP@GC Delete Order by ID Request,1317,227,12,600,92.57,98.178%,33.76231,6.59,13.89,199.8
JP@GC Delete Item Request,1621,185,10,596,81.32,98.828%,41.48645,7.79,16.50,192.4
JP@GC Delete Merchants Request,1796,166,11,1101,72.89,96.715%,46.04892,9.12,18.49,202.7
JP@GC Delete Category Request,2166,138,9,498,61.97,98.615%,55.53704,10.47,22.37,193.0
TOTAL,9775,223,9,6098,355.61,90.445%,19.33492,8.65,8.05,458.2
