Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,3,3454,463,9423,4220.72,0.000%,.00733,0.00,0.00,687.0
Login as User Request,3,2854,477,7593,3350.98,0.000%,.00750,0.01,0.00,685.0
Login as Merchant Request,3,2485,480,6494,2834.79,0.000%,.00763,0.01,0.00,687.0
JP@GC Register Merchant Request,31,2213,597,4496,952.32,0.000%,.79195,0.54,0.42,698.3
JP@GC Register User Request,30,1708,506,4705,945.43,0.000%,.88178,0.59,0.26,683.6
JP@GC Register Admin Request,28,2242,596,4777,1290.83,0.000%,.84572,0.57,0.44,690.3
JP@GC Login Request,21,2503,595,4787,917.10,0.000%,.69325,0.46,0.17,683.5
JP@GC Create Category Request,21,2956,487,10674,3248.08,0.000%,.54882,0.29,0.25,549.0
JP@GC Get All Categories Request,20,2868,117,9799,3127.39,0.000%,.85844,0.54,0.33,639.0
JP@GC Get Category by ID Request,17,846,299,1788,392.27,100.000%,1.10973,0.20,0.42,188.0
JP@GC Update Category Request,11,1533,304,2598,637.90,0.000%,.81481,0.44,0.39,551.1
JP@GC Create Merchant Request,25,5893,1386,17612,5576.95,0.000%,.65109,0.37,0.38,582.7
JP@GC Get All Merchants Request,20,4384,198,13307,4388.88,0.000%,.77800,0.44,0.30,579.0
JP@GC Get Merchant by ID Request,15,1271,609,2492,505.47,93.333%,1.42789,0.30,0.54,214.9
JP@GC Create Item Request,28,1702,597,4801,1134.56,0.000%,.73702,0.58,0.68,801.2
JP@GC Get All Items Request,26,440,98,1609,336.09,0.000%,.77647,0.54,0.29,712.3
JP@GC Get Item by ID Request,20,865,396,1794,290.81,70.000%,1.03003,0.37,0.39,369.4
JP@GC Add Item Stock Request,20,1197,114,1808,411.15,30.000%,1.01020,0.61,0.45,616.2
JP@GC Remove Item Stock Request,18,1091,302,1894,424.31,33.333%,.89131,0.52,0.40,594.9
JP@GC Create Order Request,10,22786,20198,25489,1600.88,80.000%,.32590,0.11,0.34,330.2
JP@GC Get User Orders Request,10,11859,8793,14989,2472.06,0.000%,.60237,0.28,0.22,473.0
JP@GC Get Order by ID Request,66,1484,278,3488,888.67,100.000%,1.82215,0.33,0.68,186.0
JP@GC Approve Order Request,150,2070,500,4811,923.33,98.667%,3.77948,0.71,1.71,191.4
JP@GC Get All Merchant Orders Request,49,618,180,2208,437.78,0.000%,1.34335,0.62,0.52,473.0
JP@GC Get Merchant Order by ID Request,40,828,307,1582,309.33,100.000%,1.39349,0.27,0.53,195.0
JP@GC Get Merchant Order of Merchant User Request,39,581,96,2605,498.42,0.000%,1.38239,0.64,0.53,473.0
JP@GC Get All Shipping Orders Request,28,4625,191,15901,5597.97,0.000%,.72561,0.34,0.28,473.0
JP@GC Get Shipping Order by ID Request,19,1462,884,3611,614.54,100.000%,1.08004,0.21,0.41,195.0
JP@GC Get Shipping Order of User Request,19,1498,205,2896,975.45,0.000%,1.15131,0.53,0.44,473.0
JP@GC Reject Order Request,205,1528,12,5889,843.62,100.000%,1.88973,0.43,0.84,234.4
JP@GC Get Order by ID Request,66,1484,278,3488,888.67,100.000%,1.82215,0.33,0.68,186.0
JP@GC Cancel Order Request,199,1549,391,4209,794.05,100.000%,5.01360,0.91,2.29,186.0
JP@GC Delete Order by ID Request,237,1289,314,6704,737.12,99.156%,6.04731,1.14,2.48,192.4
JP@GC Delete Item Request,423,713,107,2200,343.35,93.853%,10.82367,2.36,4.30,222.9
JP@GC Delete Merchants Request,267,1137,197,4202,644.27,90.637%,6.81453,1.50,2.73,225.9
JP@GC Delete Category Request,597,506,81,2096,250.72,96.482%,15.31083,3.00,6.16,200.8
TOTAL,2718,1342,12,25489,2044.49,80.648%,4.17181,1.12,1.75,274.4
