Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,6757,6757,6757,0.00,0.000%,.14799,0.10,0.04,687.0
Login as User Request,1,5482,5482,5482,0.00,0.000%,.18242,0.12,0.05,685.0
Login as Merchant Request,1,5696,5696,5696,0.00,0.000%,.17556,0.12,0.04,687.0
JP@GC Register Merchant Request,31,1498,422,2997,624.91,0.000%,.85541,0.58,0.46,698.3
JP@GC Register User Request,31,1258,503,2401,561.75,0.000%,.88579,0.59,0.26,683.6
JP@GC Register Admin Request,31,1682,599,3197,707.28,0.000%,.90127,0.61,0.47,690.4
JP@GC Login Request,22,1433,478,3401,775.98,0.000%,.80020,0.53,0.20,683.4
JP@GC Create Category Request,24,2054,495,7691,2285.50,0.000%,.63340,0.34,0.29,549.1
JP@GC Get All Categories Request,21,1083,399,2698,745.31,0.000%,.69779,1.26,0.27,1854.1
JP@GC Get Category by ID Request,19,731,298,1200,238.38,0.000%,1.21019,0.65,0.46,548.9
JP@GC Update Category Request,14,936,498,1303,247.92,0.000%,.86935,0.47,0.42,551.5
JP@GC Create Merchant Request,35,2569,502,7693,1598.64,0.000%,.94620,0.54,0.55,583.1
JP@GC Get All Merchants Request,34,1343,196,3402,962.34,0.000%,1.14140,3.04,0.43,2731.0
JP@GC Get Merchant by ID Request,25,794,102,1594,430.85,0.000%,1.23195,0.70,0.47,582.4
JP@GC Create Item Request,20,1085,594,2704,590.81,0.000%,.70195,0.55,0.64,800.8
JP@GC Get All Items Request,20,538,101,1196,295.12,0.000%,.73801,2.54,0.28,3525.8
JP@GC Get Item by ID Request,20,389,203,601,118.02,15.000%,.75778,0.52,0.28,708.4
JP@GC Add Item Stock Request,13,683,298,1102,218.02,23.077%,.54405,0.35,0.24,658.2
JP@GC Remove Item Stock Request,10,840,198,1197,343.38,30.000%,1.17744,0.71,0.52,614.4
JP@GC Create Order Request,11,13289,1599,17288,3981.79,72.727%,.27171,0.10,0.28,386.2
JP@GC Get User Orders Request,10,5098,2899,7396,1847.82,0.000%,1.28205,1.77,0.48,1416.0
JP@GC Get All Orders Request,10,2400,2003,3305,353.00,0.000%,2.63089,3.64,0.99,1416.0
JP@GC Get Order by ID Request,8,1236,799,1999,378.39,75.000%,3.33056,1.22,1.25,375.2
JP@GC Approve Order Request,2,798,695,901,103.00,100.000%,1.43062,0.26,0.65,186.0
JP@GC Get All Merchant Orders Request,59,189,22,602,113.28,0.000%,1.59503,0.74,0.61,473.0
JP@GC Get Merchant Order by ID Request,50,294,100,799,127.09,100.000%,1.60256,0.31,0.61,195.0
JP@GC Get Merchant Order of Merchant User Request,49,180,19,997,154.34,0.000%,1.59101,0.73,0.61,473.0
JP@GC Get All Shipping Orders Request,60,136,16,395,77.72,0.000%,1.65317,0.76,0.64,473.0
JP@GC Get Shipping Order by ID Request,50,204,81,404,87.13,100.000%,1.62327,0.31,0.62,195.0
JP@GC Get Shipping Order of User Request,50,145,18,397,84.09,0.000%,1.62851,0.75,0.62,473.0
JP@GC Reject Order Request,236,1310,299,3999,549.85,100.000%,6.02225,1.09,2.72,186.0
JP@GC Cancel Order Request,268,1140,300,3397,517.87,100.000%,6.82073,1.24,3.11,186.0
JP@GC Delete Order by ID Request,297,1021,100,2999,496.55,98.990%,7.57692,1.43,3.11,193.7
JP@GC Delete Item Request,603,499,104,1496,212.41,96.849%,15.42633,3.08,6.13,204.4
JP@GC Delete Merchants Request,478,631,94,2003,276.29,92.678%,12.25924,2.61,4.92,217.9
JP@GC Delete Category Request,797,378,97,1300,168.86,96.989%,20.38520,3.96,8.20,198.9
TOTAL,3411,766,16,17288,1013.69,79.830%,6.41705,2.00,2.66,319.7
