Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,6957,6957,6957,0.00,0.000%,.14374,0.10,0.04,687.0
Login as User Request,1,886,886,886,0.00,0.000%,1.12867,0.76,0.29,685.0
Login as Merchant Request,1,594,594,594,0.00,0.000%,1.68350,1.13,0.42,687.0
Register Merchant Request,50,38345,23344,87939,15148.53,0.000%,.56854,0.39,0.30,698.5
Register User Request,50,26143,11695,47196,9289.70,0.000%,.56312,0.38,0.16,684.0
Register Admin Request,50,29286,10297,48489,8066.09,0.000%,.58819,0.40,0.31,691.7
Login Request,50,13718,406,26308,5959.31,0.000%,.94137,0.63,0.24,684.0
Create Category Request,50,11900,9066,15268,1985.37,0.000%,3.27182,1.76,1.51,549.6
Get All Categories Request,50,2373,793,6296,1496.43,0.000%,7.14388,25.09,2.72,3596.3
Get Category by ID Request,50,1593,393,2613,615.04,0.000%,7.46491,4.01,2.83,549.6
Update Category Request,50,1271,501,2205,430.47,0.000%,6.25626,3.38,3.00,552.6
Create Merchant Request,50,20685,15575,26696,2848.15,0.000%,1.87294,1.07,1.08,583.3
Get All Merchants Request,50,6348,295,12303,2675.99,0.000%,3.40136,19.54,1.29,5883.9
Get Merchant by ID Request,50,1486,304,2800,584.85,0.000%,7.47496,4.26,2.83,583.2
Create Item Request,50,6160,2898,10285,2111.74,6.000%,4.85578,3.62,4.45,763.8
Get All Items Request,50,4402,802,8001,1735.05,0.000%,5.26926,76.16,1.98,14799.6
Get Item by ID Request,50,3603,197,7897,2879.40,38.000%,4.95295,2.74,1.86,567.0
Add Item Stock Request,50,1802,286,4600,1141.63,38.000%,4.16667,2.31,1.85,567.0
Remove Item Stock Request,50,1194,206,2706,616.89,38.000%,4.19780,2.32,1.87,566.4
Create Order Request,50,38602,17770,59781,12834.93,78.000%,.83637,0.28,0.86,346.1
Get User Orders Request,50,28078,10296,45700,10734.72,0.000%,.94884,5.22,0.35,5635.6
Get All Orders Request,50,10943,9898,14501,791.89,0.000%,2.82502,15.68,1.06,5683.0
Get Order by ID Request,50,2986,904,4997,1083.95,78.000%,4.38596,1.51,1.65,353.1
Approve Order Request,50,4076,597,9192,2444.96,78.000%,3.33400,0.90,1.51,275.3
Get All Merchant Orders Request,50,2196,884,3681,680.44,0.000%,13.56484,6.27,5.22,473.0
Get Merchant Order by ID Request,50,2073,500,4207,1083.76,100.000%,7.45712,1.42,2.86,195.0
Get Merchant Order of Merchant User Request,50,2253,301,3898,1000.15,0.000%,7.81372,3.61,2.98,473.0
Get All Shipping Orders Request,50,12212,10287,14081,1169.71,0.000%,3.54937,1.64,1.37,473.0
Get Shipping Order by ID Request,50,2228,802,3607,852.24,100.000%,6.93481,1.32,2.66,195.0
Get Shipping Order of User Request,50,2038,300,3303,669.45,0.000%,6.93963,3.21,2.63,473.0
Reject Order Request,25,3026,1194,6088,1409.50,80.000%,4.10576,1.07,1.85,267.1
Cancel Order Request,25,2906,1095,5493,1309.54,76.000%,4.55042,1.26,2.08,283.7
Delete Order by ID Request,50,6266,895,11688,2883.39,78.000%,4.27716,1.48,1.75,353.4
Delete Item Request,50,3057,694,5282,1230.38,38.000%,9.45537,5.23,3.75,566.4
Delete Merchants Request,50,5286,2299,8684,2004.48,0.000%,5.75506,3.28,2.30,583.3
Delete Category Request,50,2009,508,3393,758.96,0.000%,14.71021,7.94,5.90,552.6
TOTAL,1603,9287,197,87939,11956.38,23.331%,3.79100,5.69,1.68,1536.7
