Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,5208,5208,5208,0.00,0.000%,.19201,0.13,0.05,687.0
Login as User Request,1,4193,4193,4193,0.00,0.000%,.23849,0.16,0.06,685.0
Login as Merchant Request,1,3596,3596,3596,0.00,0.000%,.27809,0.19,0.07,687.0
Register Merchant Request,50,13481,10118,16223,1511.21,0.000%,3.08166,2.10,1.65,698.4
Register User Request,50,9195,6805,11493,1057.78,0.000%,2.84107,1.90,0.83,683.9
Register Admin Request,50,9578,6799,11799,1180.03,0.000%,3.04878,2.06,1.59,691.8
Login Request,50,4439,597,6901,1546.71,0.000%,3.47222,2.32,0.87,683.9
Create Category Request,50,10667,9393,13589,1110.71,0.000%,3.67863,1.97,1.69,549.6
Get All Categories Request,50,5498,4100,7799,803.84,0.000%,5.95522,26.58,2.27,4570.0
Get Category by ID Request,50,1649,401,2807,555.01,0.000%,9.80392,5.26,3.72,549.6
Update Category Request,50,679,110,1497,333.95,0.000%,8.77655,4.74,4.20,552.6
Create Merchant Request,50,4788,2289,7494,1374.59,0.000%,6.67111,3.80,3.86,583.3
Get All Merchants Request,50,3027,1206,4492,818.82,0.000%,7.69112,45.52,2.92,6060.3
Get Merchant by ID Request,50,1052,35,1897,545.79,0.000%,12.50000,7.12,4.73,583.2
Create Item Request,50,3814,1488,6492,1427.22,4.000%,7.69704,5.94,7.05,790.8
Get All Items Request,50,3720,1997,5306,826.15,0.000%,7.14082,123.00,2.68,17638.9
Get Item by ID Request,50,1169,195,2099,619.34,4.000%,12.82709,9.91,4.81,791.2
Add Item Stock Request,50,520,36,1199,291.85,4.000%,10.64056,8.22,4.73,791.2
Remove Item Stock Request,50,313,69,798,149.93,4.000%,9.50390,7.33,4.24,790.2
Create Order Request,50,6279,3200,10095,1871.40,64.000%,4.95246,2.19,5.09,453.7
Get User Orders Request,50,4818,2799,6301,989.80,0.000%,5.00350,42.20,1.86,8636.5
Get All Orders Request,50,2344,902,3795,657.26,0.000%,10.00600,88.02,3.77,9008.0
Get Order by ID Request,50,762,29,1298,344.00,64.000%,19.26040,8.64,7.24,459.5
Approve Order Request,50,261,70,601,145.81,72.000%,16.31854,4.79,7.37,300.4
Get All Merchant Orders Request,50,1800,993,2377,385.88,0.000%,20.91175,107.03,8.05,5241.0
Get Merchant Order by ID Request,50,986,26,1701,470.00,64.000%,16.69449,6.36,6.40,390.0
Get Merchant Order of Merchant User Request,50,1004,200,1697,331.17,0.000%,13.63512,69.07,5.19,5187.0
Get All Shipping Orders Request,50,1574,994,2091,328.25,0.000%,23.88915,164.63,9.19,7057.0
Get Shipping Order by ID Request,50,1251,97,1996,544.71,64.000%,16.67779,6.94,6.40,426.4
Get Shipping Order of User Request,50,1173,799,1698,232.64,0.000%,13.51717,93.15,5.12,7057.0
Reject Order Request,25,1018,293,1389,316.25,80.000%,17.97268,4.71,8.10,268.2
Cancel Order Request,25,1336,684,1787,316.35,64.000%,13.97429,4.54,6.37,332.9
Delete Order by ID Request,50,2236,193,3182,798.06,64.000%,15.69859,7.05,6.44,459.9
Delete Item Request,50,1556,393,2389,595.92,4.000%,20.87683,16.11,8.27,790.2
Delete Merchants Request,50,1451,389,2189,540.15,0.000%,22.79982,12.99,9.13,583.3
Delete Category Request,50,1356,293,2188,550.26,0.000%,22.76867,12.29,9.14,552.6
TOTAL,1603,3240,26,16223,3389.14,15.097%,8.30992,21.25,3.67,2618.6
