Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,5764,5764,5764,0.00,0.000%,.17349,0.12,0.04,687.0
Login as User Request,1,892,892,892,0.00,0.000%,1.12108,0.75,0.28,685.0
Login as Merchant Request,1,998,998,998,0.00,0.000%,1.00200,0.67,0.25,687.0
Register Merchant Request,50,29696,24139,43538,4144.27,0.000%,1.14837,0.78,0.61,698.4
Register User Request,50,27224,18898,37399,4726.93,0.000%,1.12113,0.75,0.33,683.9
Register Admin Request,50,29860,16602,44104,6790.63,0.000%,.91907,0.62,0.48,691.8
Login Request,50,12682,6000,19899,3673.74,0.000%,1.10132,0.74,0.28,683.9
Create Category Request,50,11935,11078,12598,435.13,0.000%,3.96794,2.13,1.83,549.6
Get All Categories Request,50,4714,2802,6302,825.89,0.000%,7.14490,31.89,2.72,4570.0
Get Category by ID Request,50,2594,587,4399,1036.26,0.000%,6.41766,3.44,2.44,549.6
Update Category Request,50,1421,504,2602,551.29,0.000%,5.43478,2.93,2.60,552.6
Create Merchant Request,50,14906,9381,20778,3307.24,0.000%,2.40593,1.37,1.39,583.3
Get All Merchants Request,50,9276,5301,12900,2122.58,0.000%,2.97654,18.02,1.13,6198.0
Get Merchant by ID Request,50,1075,499,1898,386.19,0.000%,9.26441,5.28,3.51,583.2
Create Item Request,50,5603,3288,8694,1695.03,6.000%,5.74911,4.29,5.27,764.0
Get All Items Request,50,4046,1100,6594,1343.73,0.000%,6.58241,94.66,2.47,14725.8
Get Item by ID Request,50,1396,300,2398,599.49,30.000%,12.82380,7.72,4.81,616.4
Add Item Stock Request,50,1334,297,2596,647.50,30.000%,9.26441,5.58,4.11,616.4
Remove Item Stock Request,50,949,300,1902,394.35,30.000%,7.93399,4.77,3.54,615.7
Create Order Request,50,9686,5187,14986,2801.15,0.000%,3.33622,3.08,3.43,945.5
Get User Orders Request,50,10417,7502,13202,1424.18,0.000%,2.89084,67.98,1.07,24078.7
Get All Orders Request,50,7113,6200,8399,496.53,0.000%,4.50450,106.30,1.70,24164.0
Get Order by ID Request,50,833,192,1700,472.87,0.000%,9.63206,8.89,3.62,945.5
Approve Order Request,50,843,391,1498,270.88,0.000%,8.93176,5.16,4.04,591.8
Get All Merchant Orders Request,50,4287,2091,6188,1085.09,0.000%,8.07494,108.15,3.11,13715.0
Get Merchant Order by ID Request,50,2145,301,3301,885.19,0.000%,6.76041,4.86,2.59,736.6
Get Merchant Order of Merchant User Request,50,2311,899,3401,633.98,0.000%,6.09979,80.80,2.32,13565.0
Get All Shipping Orders Request,50,3048,1595,4590,857.92,0.000%,10.88850,199.51,4.19,18763.0
Get Shipping Order by ID Request,50,1689,297,2699,712.50,0.000%,8.77963,7.18,3.37,837.5
Get Shipping Order of User Request,50,1906,1002,2700,469.76,0.000%,7.69112,140.93,2.91,18763.0
Reject Order Request,25,3038,1596,4394,800.39,0.000%,5.68958,3.29,2.56,591.6
Cancel Order Request,25,2550,1495,3594,668.11,0.000%,6.95217,4.03,3.17,593.0
Delete Order by ID Request,50,4812,2590,6488,1167.78,0.000%,7.70416,7.12,3.16,947.0
Delete Item Request,50,2862,699,4294,960.57,30.000%,11.63332,7.00,4.61,615.7
Delete Merchants Request,50,4099,1284,6785,1718.10,0.000%,7.36485,4.20,2.95,583.3
Delete Category Request,50,1872,695,2884,624.49,0.000%,17.28907,9.33,6.94,552.6
TOTAL,1603,6849,192,44104,8299.54,3.930%,4.95271,23.25,2.19,4807.2
