Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,7590,7590,7590,0.00,0.000%,.13175,0.09,0.03,687.0
Login as User Request,1,1379,1379,1379,0.00,0.000%,.72516,0.49,0.18,685.0
Login as Merchant Request,1,814,814,814,0.00,0.000%,1.22850,0.82,0.31,687.0
Register Merchant Request,50,39442,25815,61717,10637.56,0.000%,.81011,0.55,0.43,698.5
Register User Request,50,32072,20708,52498,7716.83,0.000%,.74965,0.50,0.22,683.9
Register Admin Request,50,31903,21902,55797,5361.31,0.000%,.73632,0.50,0.38,691.8
Login Request,50,14971,8195,22002,3841.45,0.000%,1.05456,0.70,0.26,683.9
Create Category Request,50,11650,10087,12683,853.13,0.000%,3.94197,2.12,1.82,549.6
Get All Categories Request,50,3687,2302,4900,613.56,0.000%,7.69704,34.35,2.93,4570.0
Get Category by ID Request,50,3345,700,5596,1127.76,0.000%,7.57576,4.07,2.88,549.6
Update Category Request,50,1856,602,3299,720.73,0.000%,5.81734,3.14,2.79,552.6
Create Merchant Request,50,17851,10990,24485,3987.78,0.000%,2.04148,1.16,1.18,583.3
Get All Merchants Request,50,10541,5501,15899,3064.55,0.000%,2.63186,15.93,1.00,6198.0
Get Merchant by ID Request,50,1975,600,3497,856.02,0.000%,7.46938,4.25,2.83,583.2
Create Item Request,50,7844,3401,13687,2974.30,0.000%,3.65150,2.86,3.35,801.3
Get All Items Request,50,3666,204,9000,2557.14,0.000%,4.76417,65.22,1.79,14017.8
Get Item by ID Request,50,1771,395,3694,974.15,62.000%,4.42635,1.81,1.66,419.2
Add Item Stock Request,50,1273,309,2703,653.81,62.000%,5.05204,2.07,2.24,419.2
Remove Item Stock Request,50,840,294,1700,355.70,62.000%,5.26260,2.15,2.35,418.8
Create Order Request,50,36191,19476,52788,10230.09,80.000%,.94717,0.31,0.97,330.7
Get User Orders Request,50,24630,11200,38202,8234.05,0.000%,1.11852,5.69,0.42,5209.0
Get All Orders Request,50,9277,8196,10607,666.30,0.000%,3.31192,16.85,1.25,5209.0
Get Order by ID Request,50,2934,602,6495,1576.92,80.000%,4.50491,1.49,1.69,337.9
Approve Order Request,50,1282,399,3800,935.09,80.000%,4.46588,1.17,2.02,267.2
Get All Merchant Orders Request,50,2443,592,4087,971.29,0.000%,12.21896,5.64,4.70,473.0
Get Merchant Order by ID Request,50,2656,300,4500,1155.57,100.000%,6.32671,1.20,2.43,195.0
Get Merchant Order of Merchant User Request,50,2904,1097,4293,937.39,0.000%,5.55494,2.57,2.12,473.0
Get All Shipping Orders Request,50,2388,891,3981,926.31,0.000%,12.54705,5.80,4.83,473.0
Get Shipping Order by ID Request,50,2185,195,4001,1023.05,100.000%,7.04821,1.34,2.70,195.0
Get Shipping Order of User Request,50,2607,900,4095,807.55,0.000%,5.81328,2.69,2.20,473.0
Reject Order Request,25,3293,791,5683,1407.43,80.000%,4.39754,1.15,1.98,267.1
Cancel Order Request,25,2743,1095,4892,1087.35,80.000%,5.11038,1.33,2.33,267.4
Delete Order by ID Request,50,4837,1089,8582,2079.79,80.000%,5.82208,1.92,2.39,338.2
Delete Item Request,50,2540,595,4487,998.01,62.000%,11.12842,4.55,4.41,418.8
Delete Merchants Request,50,6477,1793,11284,2902.41,0.000%,4.42909,2.52,1.77,583.3
Delete Category Request,50,2011,493,3090,695.72,0.000%,16.14987,8.71,6.48,552.6
TOTAL,1603,9147,195,61717,11740.64,26.450%,3.87496,5.70,1.71,1505.2
