Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,9997,9997,9997,0.00,0.000%,.10003,0.07,0.03,687.0
Login as User Request,1,776,776,776,0.00,0.000%,1.28866,0.86,0.33,685.0
Login as Merchant Request,1,610,610,610,0.00,0.000%,1.63934,1.10,0.41,687.0
Register Merchant Request,50,40037,31746,67156,8379.69,0.000%,.74449,0.51,0.40,698.4
Register User Request,50,28349,13000,52792,11025.16,0.000%,.81195,0.54,0.24,684.0
Register Admin Request,50,32407,18099,54783,7929.01,0.000%,.68583,0.46,0.36,691.7
Login Request,50,16093,6799,31096,5944.31,0.000%,.75987,0.51,0.19,684.0
Create Category Request,50,12901,11075,14585,1122.05,0.000%,3.42794,1.84,1.58,549.6
Get All Categories Request,50,8327,5198,12296,1717.88,0.000%,4.03063,2.52,1.54,639.0
Get Category by ID Request,50,2837,1501,5105,846.23,100.000%,7.94281,1.46,3.02,188.0
Update Category Request,50,2562,1297,3982,726.27,0.000%,6.49773,3.51,3.11,552.6
Create Merchant Request,50,23960,18470,31279,3382.21,0.000%,1.59847,0.91,0.92,583.3
Get All Merchants Request,50,9064,711,15999,3240.31,0.000%,2.56331,1.45,0.97,579.0
Get Merchant by ID Request,50,1653,291,4582,1036.89,98.000%,5.62620,1.08,2.13,196.8
Create Item Request,50,8821,4594,12889,2369.52,2.000%,3.87657,2.99,3.55,788.8
Get All Items Request,50,2241,198,8879,2859.52,0.000%,3.26776,2.83,1.23,888.3
Get Item by ID Request,50,3837,286,9000,2896.21,72.000%,3.26904,1.14,1.23,357.4
Add Item Stock Request,50,2011,504,4105,963.46,40.000%,3.33067,1.80,1.48,554.6
Remove Item Stock Request,50,1240,308,2906,566.79,40.000%,3.37929,1.83,1.51,554.0
Create Order Request,50,56562,27776,84478,18104.44,76.000%,.59185,0.21,0.61,361.4
Get User Orders Request,50,4141,201,15800,4892.06,0.000%,.87240,0.40,0.32,473.0
Get All Orders Request,50,2142,206,5177,1710.65,0.000%,1.18220,0.55,0.45,473.0
Get Order by ID Request,50,1712,600,3790,797.23,100.000%,1.28521,0.23,0.48,186.0
Approve Order Request,50,2523,603,10294,2105.64,82.000%,1.27551,0.32,0.58,259.0
Get All Merchant Orders Request,50,3040,1778,4867,941.39,0.000%,10.26273,4.74,3.95,473.0
Get Merchant Order by ID Request,50,2392,696,5408,1243.96,100.000%,6.01830,1.15,2.31,195.0
Get Merchant Order of Merchant User Request,50,2419,288,4983,1171.13,0.000%,6.26017,2.89,2.38,473.0
Get All Shipping Orders Request,50,18593,15593,22384,1782.47,0.000%,2.23314,1.03,0.86,473.0
Get Shipping Order by ID Request,50,2954,504,5797,1248.57,100.000%,4.63092,0.88,1.78,195.0
Get Shipping Order of User Request,50,2612,296,5416,1294.78,0.000%,5.31915,2.46,2.02,473.0
Reject Order Request,25,7035,1204,10197,2045.14,76.000%,2.45050,0.68,1.10,283.4
Cancel Order Request,25,5286,2374,8586,1704.48,76.000%,2.91138,0.81,1.33,283.7
Delete Order by ID Request,50,8759,2078,16686,4443.43,76.000%,2.99563,1.08,1.23,368.6
Delete Item Request,50,3351,574,5681,1246.96,40.000%,8.79662,4.76,3.49,554.0
Delete Merchants Request,50,6813,2387,12375,2873.37,0.000%,4.03649,2.30,1.62,583.3
Delete Category Request,50,2154,497,3684,844.60,0.000%,13.55014,7.31,5.44,552.6
TOTAL,1603,10071,198,84478,13696.23,31.254%,3.36628,1.60,1.49,486.8
